Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3682|3003933|240|2023-04-24|0b11c851-5eee-415b-a076-00f69442c47c|FCA|USD|5246.40|5246.40|USA| |611462969|ZF NORTH AMERICA INC|CENTENNIAL DRIVE||15811|48168|NORTHVILLE|2023-05-05 11:50:24|
1634|3017196|240|2023-05-19|3b5d61eb-4d40-40b1-a1d8-0ec3e987a6c3|FCA|USD|21168.89|21168.89|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-29 11:13:03|
3694|3037491|750|2023-04-11|1b1a765a-8e3d-4f64-829b-9bc039eb4972|DAP|USD|11620.80|11620.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3018265|240|2023-05-18|3B640A09-C9AB-4161-B4CA-2C85C96C13FF|FCA|USD|1002.96|1002.96|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-19 17:48:02|
3694|3037491|750|2023-04-01|27765e97-1fd6-4f70-a737-b81e035f353c|DAP|USD|3873.60|3873.60|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037491|750|2023-04-21|57311684-c29f-4496-9808-7d2b181371cd|DAP|USD|7739.13|7739.13|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3878|3007377|240|2023-05-01|COVE235RZQ884|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-03 20:02:10|
3699|3023602|430|2023-04-15|e61a3119-8ca2-4c88-a11b-00887b076d80|FCA|USD|8887.20|8887.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-03 15:08:03|
3694|3037491|750|2023-04-20|3c7063bd-2c00-4a84-bcf6-5cefae8bfa7d|DAP|USD|4842.00|4842.00|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037491|750|2023-04-13|739b07c8-ce1d-431b-845e-5935c4a603b8|DAP|USD|2270.40|2270.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3018265|240|2023-05-18|CC92CF7D-659E-442F-8E26-BE8A33253727|FCA|USD|1002.96|1002.96|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-19 17:48:02|
3579|3019395|240|2023-05-25|42AF80A7-9B73-47C2-BC7F-60D8AB31CD3D|FCA|USD|2913.12|2913.12|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-30 15:18:05|
3878|3007042|240|2023-05-06|c1eaec31-2676-46aa-a4ea-3ecfa093d70a|EXW|USD|51444.14|51444.14|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3878|3006823|240|2023-04-27|b8f623cb-975f-4edd-bc25-da2f0ef1cd84|EXW|USD|60970.14|60970.14|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-02 17:01:14|
3694|3037491|750|2023-04-11|6e367ca6-5d8f-4165-9e74-ced8839596ee|DAP|USD|6811.20|6811.20|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
1766|3001701|640|2023-05-25|COVE235TPHSZ7|DAP| |0.00|0.00| | |B62933593|OSG IBERICA TOOLING, S.L.U.||||||2023-05-29 14:27:02|
3426|3002152|480||COVE235SRXOJ3|EXW| |0.00|0.00| | |S/N|AFHER 1988, S.L.||||||2023-05-15 16:42:09|
1660|3003894|240|2023-05-24|COVE235TKL814|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-26 18:22:03|
3694|3037491|750|2023-04-13|43c7ad09-bc8c-4ecb-9c16-07d5904966c8|DAP|USD|2270.40|2270.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
1660|3003890|240|2023-05-22|COVE235THI1Z1|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-25 15:46:01|
3579|3019395|240|2023-05-25|FBBA92A7-04F9-4ECC-8B56-4B1E185AB435|FCA|USD|2913.12|2913.12|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-30 15:18:05|
3694|3037491|750|2023-04-28|f4ccfeaa-0555-4aa1-9db6-434235c2006b|DAP|USD|1936.80|1936.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3017344|240|2023-05-04|EB3745C7-2423-4923-AFAC-27CD653F4C15|FCA|USD|6612.48|6612.48|MEX| |22-3190143|BMW MANUFACTURING CO, LLC|FREEMAN FARM ROAD||1331|29651|GREER|2023-05-10 10:09:29|
3579|3018458|240|2023-05-23|COVE235TER1L8|FCA|USD|1002.96|1002.96|MEX| |22-3190143|BMW CONSOLIDATION SERVICES CO., LLC|FREEMAN FARM RD||1331|29651|GREER|2023-05-24 17:10:03|
3699|3023602|430|2023-04-15|5a033542-07f3-40f9-a517-e4cff1105d4c|FCA|USD|10459.20|10459.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-03 15:08:03|
3878|3007133|240|2023-05-15|3d9f2cbc-f19c-4109-b724-112f4c68b3ac|EXW|USD|60595.92|60595.92|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3579|3018458|240|2023-05-23|COVE235TER1B6|FCA|USD|971.04|971.04|MEX| |22-3190143|BMW CONSOLIDATION SERVICES CO., LLC|FREEMAN FARM RD||1331|29651|GREER|2023-05-24 17:10:03|
3878|3007398|240|2023-05-10|COVE235SLN0U1|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-12 15:16:15|
3878|3007422|240|2023-05-18|COVE235T6Z1G7|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-22 14:00:05|
3699|3023603|430|2023-04-15|5ecc0b32-5844-40b4-821d-09c2c9c65e25|FCA|USD|12627.00|12627.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-03 15:08:03|
3699|3023696|430|2023-04-15|90cf4c7e-dcc2-4f31-97c1-1c6f8c3afdac|FCA|USD|3114.00|3114.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-16 15:25:01|
3878|3007133|240|2023-05-12|12441e2a-868d-403c-aaaa-a5ee33aa87cb|EXW|USD|52735.54|52735.54|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3878|3007390|240|2023-05-05|COVE235SDDA76|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-09 19:59:13|
3878|3007042|240|2023-05-09|2253c113-f48e-43d3-bd94-19da018fd268|EXW|USD|41558.00|41558.00|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3694|3037491|750|2023-04-27|11ef60a3-0dbc-4936-b44e-237471d5af13|DAP|USD|3873.60|3873.60|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
